dir,k,step,x,y,z,T
Xp,0,0,4.4570,1.7000,2.6000,22.783
Xp,1,0,4.4570,1.7750,2.6000,18.575
Xp,2,0,4.4570,1.8500,2.6000,18.575
Xp,3,0,4.4570,1.9250,2.6000,18.194
Xp,4,0,4.4570,2.0000,2.6000,18.230
Xp,5,0,4.4570,2.0750,2.6000,18.230
Xp,6,0,4.4570,2.1500,2.6000,18.249
Xp,7,0,4.4570,2.2250,2.6000,18.580
Xp,8,0,4.4570,2.3000,2.6000,18.580
Xp,0,1,4.4238,1.7261,2.6044,22.783
Xp,1,1,4.5321,1.7935,2.5615,20.070
Xp,2,1,4.5681,1.8511,2.5642,19.325
Xp,3,1,4.5681,1.9261,2.5642,19.325
Xp,4,1,4.5678,1.9973,2.5641,19.376
Xp,5,1,4.5678,2.0723,2.5641,19.376
Xp,6,1,4.5613,2.1378,2.5601,19.418
Xp,7,1,4.5333,2.2061,2.5622,19.418
Xp,8,1,4.5333,2.2811,2.5622,20.153
Xp,0,2,4.5245,1.7404,2.5547,20.070
Xp,1,2,4.5694,1.8078,2.5395,20.070
Xp,2,2,4.6152,1.8529,2.5599,19.136
Xp,3,2,4.6152,1.9279,2.5599,19.136
Xp,4,2,4.6156,1.9918,2.5587,19.193
Xp,5,2,4.6156,2.0668,2.5587,19.193
Xp,6,2,4.6131,2.1245,2.5439,19.414
Xp,7,2,4.5852,2.1927,2.5461,19.418
Xp,8,2,4.5693,2.2659,2.5427,20.153
Xp,0,3,4.5617,1.7547,2.5327,20.070
Xp,1,3,4.6066,1.8221,2.5175,20.070
Xp,2,3,4.6722,1.8556,2.5531,19.136
Xp,3,3,4.6722,1.9306,2.5531,19.136
Xp,4,3,4.6729,1.9858,2.5507,19.193
Xp,5,3,4.6729,2.0608,2.5507,19.193
Xp,6,3,4.6703,2.1118,2.5266,19.414
Xp,7,3,4.6423,2.1801,2.5288,19.414
Xp,8,3,4.6053,2.2507,2.5231,20.153
Xp,0,4,4.5990,1.7690,2.5107,20.070
Xp,1,4,4.6421,1.8332,2.4983,20.314
Xp,2,4,4.7292,1.8582,2.5462,19.136
Xp,3,4,4.7292,1.9332,2.5462,19.136
Xp,4,4,4.7302,1.9799,2.5427,19.112
Xp,5,4,4.7302,2.0549,2.5427,19.112
Xp,6,4,4.7274,2.0992,2.5094,19.414
Xp,7,4,4.6994,2.1674,2.5115,19.414
Xp,8,4,4.6400,2.2387,2.5064,20.411
Xp,0,5,4.6344,1.7801,2.4915,20.314
Xp,1,5,4.6775,1.8444,2.4791,20.314
Xp,2,5,4.7934,1.8609,2.5361,19.042
Xp,3,5,4.7934,1.9359,2.5361,19.042
Xp,4,5,4.7943,1.9740,2.5317,19.112
Xp,5,5,4.7943,2.0490,2.5317,19.112
Xp,6,5,4.7858,2.0877,2.4918,19.112
Xp,7,5,4.7566,2.1547,2.4942,19.531
Xp,8,5,4.6747,2.2266,2.4898,20.411
Xp,0,6,4.6698,1.7912,2.4723,20.314
Xp,1,6,4.7129,1.8555,2.4599,19.136
Xp,2,6,4.8575,1.8636,2.5261,19.041
Xp,3,6,4.8575,1.9386,2.5261,19.041
Xp,4,6,4.8583,1.9682,2.5207,19.041
Xp,5,6,4.8583,2.0432,2.5207,19.148
Xp,6,6,4.8498,2.0819,2.4809,19.148
Xp,7,6,4.8149,2.1433,2.4767,19.531
Xp,8,6,4.7094,2.2145,2.4732,20.411
Xp,0,7,4.7053,1.8024,2.4531,20.314
Xp,1,7,4.7771,1.8582,2.4498,20.051
Xp,2,7,4.9292,1.8659,2.5119,19.041
Xp,3,7,4.9292,1.9409,2.5119,19.041
Xp,4,7,4.9299,1.9705,2.5065,19.148
Xp,5,7,4.9286,2.0382,2.5061,19.148
Xp,6,7,4.9201,2.0769,2.4663,19.148
Xp,7,7,4.8733,2.1319,2.4592,19.976
Xp,8,7,4.7665,2.2019,2.4559,19.531
Xp,0,8,4.7047,1.8117,2.4439,21.408
Xp,1,8,4.8003,1.8599,2.4338,20.051
Xp,2,8,5.0008,1.8681,2.4977,19.109
Xp,3,8,5.0008,1.9431,2.4977,19.109
Xp,4,8,5.0015,1.9727,2.4923,19.237
Xp,5,8,4.9990,2.0332,2.4916,19.237
Xp,6,8,4.9905,2.0719,2.4517,19.237
Xp,7,8,4.9264,2.1234,2.4434,20.655
Xp,8,8,4.7833,2.1913,2.4408,20.731
Xp,0,9,4.7041,1.8211,2.4347,21.408
Xp,1,9,4.8235,1.8615,2.4178,20.051
Xp,2,9,5.0733,1.8701,2.4828,19.109
Xp,3,9,5.0733,1.9451,2.4828,19.109
Xp,4,9,5.0723,1.9682,2.4773,19.109
Xp,5,9,5.0697,2.0288,2.4765,19.237
Xp,6,9,5.0314,2.0666,2.4310,19.914
Xp,7,9,4.9520,2.1159,2.4262,20.655
Xp,8,9,4.8001,2.1808,2.4257,20.731
Xp,0,10,4.7036,1.8304,2.4254,21.408
Xp,1,10,4.8467,1.8632,2.4018,20.051
Xp,2,10,5.1454,1.8719,2.4677,19.213
Xp,3,10,5.1454,1.9469,2.4677,19.213
Xp,4,10,5.1443,1.9700,2.4622,19.360
Xp,5,10,5.1395,2.0248,2.4616,19.360
Xp,6,10,5.0724,2.0612,2.4102,19.914
Xp,7,10,4.9775,2.1084,2.4090,20.696
Xp,8,10,4.8168,2.1703,2.4106,20.731
Xp,0,11,4.7030,1.8398,2.4162,21.408
Xp,1,11,4.8852,1.8643,2.3812,19.757
Xp,2,11,5.2174,1.8737,2.4526,19.346
Xp,3,11,5.2174,1.9486,2.4526,19.346
Xp,4,11,5.2164,1.9718,2.4471,19.893
Xp,5,11,5.2094,2.0208,2.4466,19.893
Xp,6,11,5.1169,2.0565,2.3892,19.889
Xp,7,11,5.0049,2.1022,2.3922,20.696
Xp,8,11,4.8336,2.1598,2.3955,20.731
Xp,0,12,4.7024,1.8491,2.4070,21.408
Xp,1,12,4.9237,1.8654,2.3606,19.757
