dir,k,step,x,y,z,T
Xp,0,0,4.4570,1.7000,2.6000,22.740
Xp,1,0,4.4570,1.7750,2.6000,18.558
Xp,2,0,4.4570,1.8500,2.6000,18.558
Xp,3,0,4.4570,1.9250,2.6000,18.181
Xp,4,0,4.4570,2.0000,2.6000,18.221
Xp,5,0,4.4570,2.0750,2.6000,18.221
Xp,6,0,4.4570,2.1500,2.6000,18.238
Xp,7,0,4.4570,2.2250,2.6000,18.564
Xp,8,0,4.4570,2.3000,2.6000,18.564
Xp,0,1,4.4238,1.7261,2.6044,22.740
Xp,1,1,4.5322,1.7934,2.5615,20.037
Xp,2,1,4.5681,1.8509,2.5642,19.306
Xp,3,1,4.5681,1.9259,2.5642,19.306
Xp,4,1,4.5678,1.9971,2.5641,19.364
Xp,5,1,4.5678,2.0721,2.5641,19.364
Xp,6,1,4.5613,2.1377,2.5601,19.406
Xp,7,1,4.5335,2.2061,2.5623,19.406
Xp,8,1,4.5335,2.2811,2.5623,20.130
Xp,0,2,4.5245,1.7403,2.5547,20.037
Xp,1,2,4.5697,1.8076,2.5394,20.037
Xp,2,2,4.6151,1.8524,2.5601,19.118
Xp,3,2,4.6151,1.9274,2.5601,19.118
Xp,4,2,4.6156,1.9914,2.5587,19.181
Xp,5,2,4.6156,2.0664,2.5587,19.181
Xp,6,2,4.6131,2.1242,2.5441,19.402
Xp,7,2,4.5852,2.1925,2.5462,19.406
Xp,8,2,4.5695,2.2658,2.5429,20.130
Xp,0,3,4.5620,1.7544,2.5326,20.037
Xp,1,3,4.6072,1.8217,2.5174,20.037
Xp,2,3,4.6720,1.8547,2.5533,19.118
Xp,3,3,4.6720,1.9297,2.5533,19.118
Xp,4,3,4.6729,1.9852,2.5506,19.181
Xp,5,3,4.6729,2.0602,2.5506,19.181
Xp,6,3,4.6701,2.1113,2.5269,19.402
Xp,7,3,4.6423,2.1797,2.5291,19.402
Xp,8,3,4.6055,2.2506,2.5235,20.130
Xp,0,4,4.5995,1.7686,2.5106,20.037
Xp,1,4,4.6429,1.8328,2.4981,20.277
Xp,2,4,4.7290,1.8570,2.5466,19.118
Xp,3,4,4.7290,1.9320,2.5466,19.118
Xp,4,4,4.7303,1.9790,2.5426,19.102
Xp,5,4,4.7303,2.0540,2.5426,19.102
Xp,6,4,4.7271,2.0985,2.5098,19.402
Xp,7,4,4.6993,2.1668,2.5119,19.402
Xp,8,4,4.6403,2.2385,2.5070,20.384
Xp,0,5,4.6352,1.7796,2.4913,20.277
Xp,1,5,4.6786,1.8438,2.4788,20.277
Xp,2,5,4.7932,1.8593,2.5367,19.023
Xp,3,5,4.7932,1.9343,2.5367,19.023
Xp,4,5,4.7943,1.9730,2.5316,19.102
Xp,5,5,4.7943,2.0480,2.5316,19.102
Xp,6,5,4.7854,2.0869,2.4924,19.102
Xp,7,5,4.7564,2.1540,2.4948,19.518
Xp,8,5,4.6751,2.2263,2.4906,20.384
Xp,0,6,4.6709,1.7906,2.4720,20.277
Xp,1,6,4.7143,1.8548,2.4595,19.118
Xp,2,6,4.8574,1.8617,2.5268,19.017
Xp,3,6,4.8574,1.9367,2.5268,19.017
Xp,4,6,4.8585,1.9753,2.5217,19.141
Xp,5,6,4.8583,2.0419,2.5206,19.141
Xp,6,6,4.8494,2.0808,2.4814,19.141
Xp,7,6,4.8146,2.1424,2.4774,19.518
Xp,8,6,4.7099,2.2142,2.4741,20.384
Xp,0,7,4.7066,1.8016,2.4528,20.277
Xp,1,7,4.7785,1.8571,2.4496,20.026
Xp,2,7,4.9291,1.8636,2.5127,19.017
Xp,3,7,4.9291,1.9386,2.5127,19.017
Xp,4,7,4.9287,1.9701,2.5071,19.141
Xp,5,7,4.9285,2.0367,2.5061,19.141
Xp,6,7,4.9197,2.0756,2.4668,19.141
Xp,7,7,4.8729,2.1308,2.4600,19.961
Xp,8,7,4.7669,2.2013,2.4570,19.518
Xp,0,8,4.7064,1.8108,2.4433,21.352
Xp,1,8,4.8016,1.8582,2.4338,20.026
Xp,2,8,5.0009,1.8655,2.4986,19.082
Xp,3,8,5.0009,1.9405,2.4986,19.082
Xp,4,8,5.0005,1.9720,2.4931,19.231
Xp,5,8,4.9988,2.0314,2.4915,19.231
Xp,6,8,4.9899,2.0704,2.4523,19.231
