dir,k,step,x,y,z,T
Xp,0,0,4.4570,1.7000,2.6000,23.251
Xp,1,0,4.4570,1.7750,2.6000,18.747
Xp,2,0,4.4570,1.8500,2.6000,18.747
Xp,3,0,4.4570,1.9250,2.6000,18.364
Xp,4,0,4.4570,2.0000,2.6000,18.391
Xp,5,0,4.4570,2.0750,2.6000,18.391
Xp,6,0,4.4570,2.1500,2.6000,18.403
Xp,7,0,4.4570,2.2250,2.6000,18.745
Xp,8,0,4.4570,2.3000,2.6000,18.745
Xp,0,1,4.4247,1.7255,2.6046,23.251
Xp,1,1,4.5330,1.7934,2.5616,20.368
Xp,2,1,4.5681,1.8515,2.5642,19.598
Xp,3,1,4.5681,1.9265,2.5642,19.598
Xp,4,1,4.5678,1.9973,2.5640,19.623
Xp,5,1,4.5678,2.0723,2.5640,19.623
Xp,6,1,4.5613,2.1378,2.5601,19.661
Xp,7,1,4.5334,2.2060,2.5623,19.661
Xp,8,1,4.5334,2.2810,2.5623,20.447
Xp,0,2,4.5257,1.7396,2.5551,20.368
Xp,1,2,4.5709,1.8077,2.5402,20.368
Xp,2,2,4.6155,1.8541,2.5598,19.389
Xp,3,2,4.6155,1.9291,2.5598,19.389
Xp,4,2,4.6159,1.9921,2.5583,19.422
Xp,5,2,4.6159,2.0671,2.5583,19.422
Xp,6,2,4.6134,2.1246,2.5438,19.651
Xp,7,2,4.5855,2.1928,2.5460,19.661
Xp,8,2,4.5696,2.2659,2.5427,20.447
Xp,0,3,4.5636,1.7539,2.5337,20.368
Xp,1,3,4.6087,1.8220,2.5188,20.368
Xp,2,3,4.6727,1.8573,2.5528,19.389
Xp,3,3,4.6727,1.9323,2.5528,19.389
Xp,4,3,4.6736,1.9863,2.5501,19.422
Xp,5,3,4.6736,2.0613,2.5501,19.422
Xp,6,3,4.6707,2.1120,2.5264,19.651
Xp,7,3,4.6429,2.1802,2.5286,19.651
Xp,8,3,4.6057,2.2507,2.5231,20.447
Xp,0,4,4.6014,1.7682,2.5123,20.368
Xp,1,4,4.6450,1.8332,2.5001,20.615
Xp,2,4,4.7299,1.8604,2.5458,19.283
Xp,3,4,4.7299,1.9354,2.5458,19.283
Xp,4,4,4.7313,1.9805,2.5419,19.331
Xp,5,4,4.7313,2.0555,2.5419,19.331
Xp,6,4,4.7281,2.0995,2.5090,19.651
Xp,7,4,4.7002,2.1677,2.5112,19.651
Xp,8,4,4.6406,2.2387,2.5065,20.718
Xp,0,5,4.6377,1.7795,2.4936,20.615
Xp,1,5,4.6812,1.8445,2.4814,20.615
Xp,2,5,4.7943,1.8636,2.5358,19.283
Xp,3,5,4.7943,1.9386,2.5358,19.283
Xp,4,5,4.7956,1.9748,2.5308,19.331
Xp,5,5,4.7956,2.0498,2.5308,19.331
Xp,6,5,4.7867,2.0881,2.4914,19.331
Xp,7,5,4.7576,2.1551,2.4938,19.771
Xp,8,5,4.6756,2.2266,2.4898,20.718
Xp,0,6,4.6739,1.7907,2.4749,20.615
Xp,1,6,4.7385,1.8476,2.4744,20.961
Xp,2,6,4.8587,1.8667,2.5257,19.269
Xp,3,6,4.8587,1.9417,2.5257,19.269
Xp,4,6,4.8600,1.9692,2.5197,19.269
Xp,5,6,4.8600,2.0442,2.5197,19.360
Xp,6,6,4.8511,2.0824,2.4803,19.360
Xp,7,6,4.8162,2.1438,2.4763,19.771
Xp,8,6,4.7105,2.2145,2.4732,20.718
Xp,0,7,4.7102,1.8019,2.4562,20.615
Xp,1,7,4.8029,1.8507,2.4644,19.283
Xp,2,7,4.9305,1.8691,2.5116,19.269
Xp,3,7,4.9305,1.9441,2.5116,19.269
Xp,4,7,4.9307,1.9642,2.5051,19.269
Xp,5,7,4.9307,2.0392,2.5051,19.360
Xp,6,7,4.9218,2.0775,2.4657,19.360
Xp,7,7,4.8749,2.1325,2.4587,20.237
Xp,8,7,4.7678,2.2020,2.4559,19.771
Xp,0,8,4.7098,1.8115,2.4482,21.854
Xp,1,8,4.8672,1.8538,2.4543,19.269
Xp,2,8,5.0024,1.8716,2.4974,19.335
Xp,3,8,5.0024,1.9466,2.4974,19.335
Xp,4,8,5.0025,1.9667,2.4909,19.335
Xp,5,8,5.0014,2.0343,2.4904,19.451
Xp,6,8,4.9925,2.0726,2.4510,19.451
Xp,7,8,4.9284,2.1240,2.4429,20.986
Xp,8,8,4.7851,2.1916,2.4405,21.076
Xp,0,9,4.7094,1.8210,2.4403,21.854
Xp,1,9,4.9058,1.8553,2.4337,20.063
Xp,2,9,5.0751,1.8737,2.4825,19.335
Xp,3,9,5.0751,1.9487,2.4825,19.335
Xp,4,9,5.0753,1.9688,2.4760,19.335
Xp,5,9,5.0725,2.0298,2.4753,19.451
Xp,6,9,5.0340,2.0673,2.4300,20.187
Xp,7,9,4.9544,2.1166,2.4255,20.986
Xp,8,9,4.8023,2.1813,2.4251,21.076
Xp,0,10,4.7091,1.8306,2.4323,21.854
Xp,1,10,4.9444,1.8567,2.4131,20.063
Xp,2,10,5.1475,1.8756,2.4674,19.438
Xp,3,10,5.1475,1.9506,2.4674,19.438
Xp,4,10,5.1477,1.9707,2.4609,19.579
Xp,5,10,5.1427,2.0257,2.4603,19.579
Xp,6,10,5.0754,2.0619,2.4091,20.187
Xp,7,10,4.9804,2.1092,2.4082,21.028
Xp,8,10,4.8196,2.1710,2.4097,21.076
Xp,0,11,4.7087,1.8401,2.4244,21.854
Xp,1,11,4.9829,1.8582,2.3925,19.977
Xp,2,11,5.2199,1.8775,2.4523,19.571
Xp,3,11,5.2199,1.9525,2.4523,19.571
Xp,4,11,5.2200,1.9726,2.4458,20.161
Xp,5,11,5.2129,2.0217,2.4453,20.161
Xp,6,11,5.1204,2.0573,2.3879,20.158
Xp,7,11,5.0083,2.1030,2.3912,21.028
Xp,8,11,4.8368,2.1606,2.3943,21.076
Xp,0,12,4.7083,1.8497,2.4164,21.854
Xp,1,12,5.0268,1.8593,2.3710,19.977
Xp,2,12,5.2708,1.8782,2.4302,19.914
Xp,3,12,5.2708,1.9532,2.4302,19.914
Xp,4,12,5.2675,1.9684,2.4248,19.914
Xp,5,12,5.2603,2.0176,2.4243,20.161
Xp,6,12,5.1654,2.0526,2.3667,20.158
Xp,7,12,5.0361,2.0968,2.3742,21.028
Xp,8,12,4.8540,2.1503,2.3790,20.986
Xp,0,13,4.7224,1.8525,2.4059,20.693
Xp,1,13,5.0708,1.8604,2.3494,19.977
Xp,2,13,5.3217,1.8788,2.4082,19.914
Xp,3,13,5.3217,1.9538,2.4082,19.914
Xp,4,13,5.3184,1.9691,2.4027,19.914
Xp,5,13,5.3077,2.0134,2.4032,20.161
Xp,6,13,5.2104,2.0479,2.3455,20.161
Xp,7,13,5.0639,2.0906,2.3572,21.028
Xp,8,13,4.8801,2.1429,2.3616,20.986
Xp,0,14,4.7457,1.8549,2.3899,20.392
Xp,1,14,5.1187,1.8613,2.3274,20.221
Xp,2,14,5.3746,1.8794,2.3863,19.929
Xp,3,14,5.3746,1.9544,2.3863,19.929
Xp,4,14,5.3713,1.9697,2.3808,19.929
Xp,5,14,5.3567,2.0098,2.3826,20.191
Xp,6,14,5.2579,2.0438,2.3245,20.475
Xp,7,14,5.1054,2.0852,2.3362,20.158
Xp,8,14,4.9061,2.1355,2.3442,20.986
Xp,0,15,4.7689,1.8572,2.3740,20.392
Xp,1,15,5.1566,1.8614,2.3059,20.221
Xp,2,15,5.4275,1.8800,2.3643,19.929
Xp,3,15,5.4275,1.9550,2.3643,19.929
Xp,4,15,5.4242,1.9703,2.3589,20.191
Xp,5,15,5.4057,2.0062,2.3620,20.191
Xp,6,15,5.2952,2.0397,2.3039,20.475
Xp,7,15,5.1395,2.0807,2.3161,20.515
Xp,8,15,4.9321,2.1281,2.3269,21.426
Xp,0,16,4.7922,1.8595,2.3580,20.392
Xp,1,16,5.1945,1.8616,2.2844,20.221
Xp,2,16,5.4818,1.8804,2.3433,20.040
Xp,3,16,5.4818,1.9554,2.3433,20.040
Xp,4,16,5.4771,1.9708,2.3370,20.316
Xp,5,16,5.4546,2.0026,2.3413,20.316
Xp,6,16,5.3325,2.0356,2.2834,20.462
Xp,7,16,5.1736,2.0761,2.2959,20.515
Xp,8,16,4.9467,2.1215,2.3132,21.426
Xp,0,17,4.8155,1.8619,2.3420,20.392
Xp,1,17,5.2360,1.8616,2.2622,20.167
Xp,2,17,5.5362,1.8809,2.3222,20.169
Xp,3,17,5.5362,1.9559,2.3222,20.169
Xp,4,17,5.5249,1.9708,2.3147,20.503
Xp,5,17,5.5044,1.9999,2.3218,20.503
Xp,6,17,5.3722,2.0320,2.2627,20.462
Xp,7,17,5.2077,2.0715,2.2758,20.515
Xp,8,17,4.9612,2.1150,2.2996,21.426
Xp,0,18,4.8388,1.8642,2.3260,20.860
Xp,1,18,5.2776,1.8617,2.2401,20.167
Xp,2,18,5.5840,1.8808,2.2999,20.211
Xp,3,18,5.5840,1.9558,2.2999,20.211
Xp,4,18,5.5728,1.9707,2.2924,20.546
Xp,5,18,5.5469,1.9970,2.3016,20.503
Xp,6,18,5.4120,2.0283,2.2421,20.462
