dir,k,step,x,y,z,T
Xp,0,0,4.4570,1.7000,2.6000,25.186
Xp,1,0,4.4570,1.7750,2.6000,19.422
Xp,2,0,4.4570,1.8500,2.6000,19.422
Xp,3,0,4.4570,1.9250,2.6000,18.942
Xp,4,0,4.4570,2.0000,2.6000,19.020
Xp,5,0,4.4570,2.0750,2.6000,19.020
Xp,6,0,4.4570,2.1500,2.6000,19.067
Xp,7,0,4.4570,2.2250,2.6000,19.511
Xp,8,0,4.4570,2.3000,2.6000,19.511
Xp,0,1,4.4244,1.7267,2.6049,25.186
Xp,1,1,4.5318,1.7939,2.5618,21.580
Xp,2,1,4.5673,1.8514,2.5639,20.452
Xp,3,1,4.5673,1.9264,2.5639,20.452
Xp,4,1,4.5676,1.9963,2.5640,20.654
Xp,5,1,4.5676,2.0713,2.5640,20.654
Xp,6,1,4.5618,2.1373,2.5603,20.815
Xp,7,1,4.5352,2.2061,2.5625,20.815
Xp,8,1,4.5352,2.2811,2.5625,21.839
Xp,0,2,4.5248,1.7413,2.5553,21.580
Xp,1,2,4.5670,1.8084,2.5409,21.580
Xp,2,2,4.6157,1.8542,2.5570,20.200
Xp,3,2,4.6157,1.9292,2.5570,20.200
Xp,4,2,4.6158,1.9899,2.5576,20.394
Xp,5,2,4.6158,2.0649,2.5576,20.394
Xp,6,2,4.6133,2.1236,2.5448,20.777
Xp,7,2,4.5868,2.1924,2.5470,20.815
Xp,8,2,4.5723,2.2659,2.5438,21.839
Xp,0,3,4.5600,1.7559,2.5344,21.580
Xp,1,3,4.6023,1.8230,2.5200,21.580
Xp,2,3,4.6738,1.8576,2.5479,20.200
Xp,3,3,4.6738,1.9326,2.5479,20.200
Xp,4,3,4.6736,1.9834,2.5489,20.394
Xp,5,3,4.6736,2.0584,2.5489,20.394
Xp,6,3,4.6706,2.1107,2.5282,20.777
Xp,7,3,4.6440,2.1795,2.5304,20.777
Xp,8,3,4.6094,2.2507,2.5252,22.170
Xp,0,4,4.5953,1.7705,2.5135,21.580
Xp,1,4,4.6361,1.8342,2.5023,21.917
Xp,2,4,4.7318,1.8611,2.5388,20.080
Xp,3,4,4.7318,1.9361,2.5388,20.080
Xp,4,4,4.7313,1.9769,2.5402,20.273
